id,state,name,address_line1,address_line2,city,district,pin_code
781,Gujarat,SHRI D.V.RAVAL ARTS & COMM. COLLEGE-HALVAD,"DARBAR NAKA,GANDHI CHOWK,HALVAD-363330","TAL.HALVAD,DIST.SURENDRANAGAR",HALVAD,Surendranagar,363330
575,Gujarat,Mahamandleshwar Shri Krishnanandji College of Commerce,"Old National Highway No-8, College Campus, Station Road,",BHARUCH Taluka-Bharuch,BHARUCH 392001,Bharuch,392001
49682,Karnataka,"D536 SRI K VIRUPAKSHAPPA DEGREE COLLEGE, TURVIHAL, SINDHANOOR",SRI. KVS DEGREE COLLEGE TURVIHAL,ATPOST :- TURVIHAL TQ:- SINDHANUR DIST:- RAICHUR,SINDHANUR,Raichur,584132
47930,Gujarat,"JASHODABA POLYTECHNIC INSTITUTE , SIDHPUR 952","Nr.Sujanpur Patia,Opp.I.O.C State Highway-41,Sidhpur-384151",NA,SIDHPUR,Patan,384151
48412,Maharashtra,"GOVINDLAL KANHAIYALAL JOSHI (NIGHT) COLLEGE, LATUR",Shri marwadi rajasthan school campus,signal camp,latur,Latur,413512
6787,Gujarat,MERCHANT COLLEGE OF MANAGEMENT & RESEARCH,"STATION ROAD,OPP DOSABHAI BAG",NA,VISNAGAR,Mahesana,384315
47324,Gujarat,"GOVERNMENT ARTS AND COMMERCE COLLEGE, RAPAR","NMENT ARTS & COMMERCE COLLEGE, ITI CAMPUS, RAPAR BHACHAU ROAD",TA-RAPAR 370165,RAPAR,Kachchh,370165
47821,Gujarat,SHREE SWAMINARAYAN ARTS COLLEGE,BOTAD ROAD GADHADA SWAMINA,NA,GADHADA SWAMINA-364750,Bhavnagar,364750
49670,Gujarat,"SWAMI SAHAJANANAD COLLEGE OF INFORMATION TECHNOLOGY, MEGA CITY","PLOT NO. 639, ISCON MEGA CITY,",NR. M.K. BHAVNAGAR UNIVERSITY,BHAVNAGAR,Bhavnagar,364002
50328,Gujarat,"SHREE B D S ARTS, SCIENCE AND COMMERCE COLLEGE",FATIPAD DARWAJA BAHAR PATAN,TALUKA PATAN DISTRICT PATAN,PATAN,Patan,384265
9983,Karnataka,SHRI SIDDALINGESHWAR B.C.A COLLEGE GOKAK,"Walmiki Circle, Naka No-1 Road","Shoonya Sampadana Math Complex, Gokak",Gokak,Belgaum,591307
7130,Gujarat,Smt. Jamanabahen Bhuta Arts College,Post box no.70,"At : Sihor , Post : Sihor, Meghvadar road, Taluka : Sihor","Sihor-364240,District : Bhavnagar",Bhavnagar,364240
539,Gujarat,"Government Arts & Commerce College, Songadh",Songadh,Songadh,Songadh,Tapi,394670
5868,Gujarat,M. D. Shah Commerce & B. D. Patel Arts College,"DAKOR ROAD,",TALUKA- MAHUDHA,MAHUDHA-387335,Kheda,387335
914,Gujarat,GRAM SARVAJANIK EDUCATION TRUST B.ED.COLLEGE-AMRAPUR (JASDAN),"At.Amarapur Ta.Vinchhiya, Dist.Rajkot","Pin No.360055 Post.Amarapur,Ta-Vinchhiya",Amarapur,Rajkot,360055
7188,Gujarat,Smt. V.P. Kapadia Mahila Arts College,"High Court Road,","Nr.Ambaji Temple, Taluka-Bhavnagar,",Dist.Bhavnagar - 364001,Bhavnagar,364001
306,Gujarat,"Laxmi Institute of Computer Applications (MCA) (SFI), Sarigam Valsad 520",Laxmi Vidyapeeth,Post Bag No. 15,Sarigam P.O.,Valsad,396155
47822,Gujarat,SHREE SWAMINARAYAN COMMERCE COLLEGE,BOTAD ROAD GADHADA SWAMINA,NA,GADHADA SWAMINA-364750,Bhavnagar,364750
